text,label,label_id,pred_label,pred_label_id,prob_negative,prob_positive,confidence,error_type,note
This is definitely one of the best Kung fu movies in the history of Cinema. The screenplay is really well done (which is not often the case for this type of movies) and you can see that Chuck (in one of his first role)is a great actor. The final fight with the sherif deputy in the bullring is a masterpiece!,negative,0,positive,1,4.503282252699137e-05,0.9999549388885498,0.9999549388885498,false_positive,
"This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!",negative,0,positive,1,5.840599988005124e-05,0.9999415874481201,0.9999415874481201,false_positive,
"Given this film's incredible reviews I was expecting something truly exceptional. It certainly starts well with witty and sharp dialogue, and a fine cast in place. A series of Robert Altman-style interwoven stories reel the viewer in with some compelling scenes. I found it gripping entertainment right through to the second half of the film when sadly, it collapses like a pack of cards. A series of ludicrous coincidences and right-on messages stack up until I'm left deeply disappointed and wondering what all the fuss is about. Paul Haggis has tackled the subject of race in LA, and that alone seems to have elevated this movie to a new level of interest. Given that most of the Academy voters live in LA and have experienced racism to some extent, this film is sure to have an impact on them. That means the Oscar for Best Picture will go to the race movie or the gay movie. Let's hope it is the latter, because Brokeback Mountain is a bona fide masterpiece that deserves recognition.",negative,0,positive,1,0.00016195219359360635,0.9998379945755005,0.9998379945755005,false_positive,
"This episode introduces us to the formal dress uniforms worn here by Captain Picard, Commander Riker, and Lieutenant Tasha Yar. The plot of this episode deals with 2 groups of separate alien delegates, The Anticans and the Selae who try to capture and eat each other at every turn. The 2 sides really hate each other, and it is up to Riker and Tasha to contain them and keep them out of trouble.<br /><br />Meanwhile a mysterious spacial anomaly goes around the ship injuring and killing a few of the crew members. But at the end of the episode this same spacial anomaly possesses a valuable member of the crowd. Will they be able to rescue him so that they maybe able to continue on with their on going mission of space exploration? <br /><br />Note: This episode marks Irish actor Colm Meaney's second appearance on TNG after ""Encounter at Farpoint."" He portrays one of Tasha's ""yellow-shirted"" security guards.",positive,1,negative,0,0.9998180270195007,0.000181990530109033,0.9998180270195007,false_negative,
"Masterpiece. Carrot Top blows the screen away. Never has one movie captured the essence of the human spirit quite like ""Chairman of the Board."" 10/10... don't miss this instant classic.",negative,0,positive,1,0.00018214086594525725,0.9998179078102112,0.9998179078102112,false_positive,
"A wonderful semi-humorous homage to Expressionistic black and white films of folks like FW Murnau, Fritz Lang, Carl Dreyer, Marcel Carné and others. Allen plays a character caught in a Kafkaesque nightmare, at first thinking he is part of a vigilante group trying to catch a killer and slowly realizing that he might be a suspect. The writing is a little forced (this is, after all, Woody Allen trying to be a coy Kafka), but the point is made, and no harm done. The cinematography is interesting, about 100 shades of gray, but make sure you watch in a very dark room with a good screen, or details will get swallowed in the fog. This is an amusing little movie with a few laughs that are actually snorts of ""uh-huh"". The acting is fine, considering the odd vehicle, and it's worth watching if you are big Woody Allen fan. Also of interest to those knowledgeable about Expressionistic films. I'd give this a 6.5 out of 10.",negative,0,positive,1,0.0001837551244534552,0.9998162388801575,0.9998162388801575,false_positive,
"This was one of the worst Columbo episodes that I have seen, However, I am only in the second season.<br /><br />The typical Columbo activities are both amusing and irritating. His cigar ashes causing him trouble have been seen before, And the bit where he always identifies in some way with the murderer--in this case cooking ,Tho the scene on the TV cooking show distracted from the main theme.<br /><br />Also not explained was why the brother at the beginning of the show was cutting part of the wires of the mixer. The reason was never explained ,nor did it serve any purpose. But the part I disliked the most was the death of the bride to be . This was never explained and it is the main reason why I give this episode such a low grade.",positive,1,negative,0,0.9998149275779724,0.00018514982366468757,0.9998149275779724,false_negative,
"This was Laurel and Hardy's last silent film for Roach Studios. However, since the public had a real thirst for ""talkies"", this same short was re-made by the team just a few years later with only a few small plot changes. LAUGHING GRAVY was essentially the same plot except that Stan and Ollie were trying to hide a cute puppy from their grouchy landlord--not a goat like in ANGORA LOVE. This whole goat angle is the worst part of the film. While you could understand the boys wanting to keep a cute little dog (after all, it is snowy outside), why exactly they bring a goat home is just contrived and pointless. According to the plot, the goat followed them home and so they got tired of shooing it away and kept it. Huh?! This just doesn't make any sense--if it had been a giraffe or a cow, would they have done the same thing?! Apart from being an unconvincing plot, the movie itself is pure Laurel and Hardy, with a familiar plot and familiar roles for the comedians. This film features quite a few laughs, but unfortunately isn't one of their better films to wrap up their silent careers. This aspect of their careers just seems to have ended with a whimper.",positive,1,negative,0,0.9997733235359192,0.0002266951196361333,0.9997733235359192,false_negative,
">>>>Author: msgreen-1 from Canada >>>>The big problem was the ""China Syndrome"" claim - that if the reactor error occurred and radioactive waste leaked out it could burn its way straight through the earth to China. A lot of people have made fun of this and if the movie makers meant it seriously then yes it should be made fun of. The spill wouldn't make it anywhere near the center of the earth or even the molten rock. Even if it did make it to the center of the Earth how would it come out in China? It would have to flow against gravity the rest of the way! Also China is not the opposite side of the world, the Indian Ocean is.<<<<< ......... ......... ........................ ................ ..................... .................. .............. ............ ................<br /><br />This point is brought up by the characters of the film, saying that of course it could not happen, as the core would hit ground water and release a radio-active cloud, raining down on the population.<br /><br />Before you try to find a weak point in the film, you should watch it first!!!! Don't judge a book by it's title...",positive,1,negative,0,0.9997604489326477,0.00023949815658852458,0.9997604489326477,false_negative,
"I really liked this quirky movie. The characters are not the bland beautiful people that show up in so many movies and on TV. It has a realistic edge, with a captivating story line. The main title sequence alone makes this movie fun to watch.",negative,0,positive,1,0.0002884056593757123,0.9997115731239319,0.9997115731239319,false_positive,
